ZONE_ID,EU_CIRCO,NOM_REGION,CHEF.LIEU_REGION,NOM_DEPARTEMENT,NOM_COMMUNE,CODES_POSTAUX,CODE_INSEE
z1070,Sud-Est,Rhône-Alpes,Lyon,Ain,Simandre-sur-Suran,1250,1408
z1071,Sud-Est,Rhône-Alpes,Lyon,Ain,Tossiat,1250,1422
z1072,Sud-Est,Rhône-Alpes,Lyon,Ain,Treffort-Cuisiat,1370,1426
z1073,Sud-Est,Rhône-Alpes,Lyon,Ain,Vandeins,1660,1429
z1074,Sud-Est,Rhône-Alpes,Lyon,Ain,Varambon,1160,1430
z1075,Sud-Est,Rhône-Alpes,Lyon,Ain,Verjon,1270,1432
z1076,Sud-Est,Rhône-Alpes,Lyon,Ain,Vernoux,1560,1433
z1077,Sud-Est,Rhône-Alpes,Lyon,Ain,Vescours,1560,1437
z1078,Sud-Est,Rhône-Alpes,Lyon,Ain,Villemotier,1270,1445
z1079,Sud-Est,Rhône-Alpes,Lyon,Ain,Villereversure,1250,1447
z1080,Sud-Est,Rhône-Alpes,Lyon,Ain,Viriat,1440,1451
z1081,Sud-Est,Rhône-Alpes,Lyon,Ain,Ambérieu-en-Bugey,1500,1004
z1082,Sud-Est,Rhône-Alpes,Lyon,Ain,Ambronay,1500,1007
z1083,Sud-Est,Rhône-Alpes,Lyon,Ain,Ambutrix,1500,1008
z1084,Sud-Est,Rhône-Alpes,Lyon,Ain,Apremont,1100,1011
z1085,Sud-Est,Rhône-Alpes,Lyon,Ain,Arbent,1100,1014
z1086,Sud-Est,Rhône-Alpes,Lyon,Ain,Balan,1360,1027
z1087,Sud-Est,Rhône-Alpes,Lyon,Ain,Béligneux,1360,1032
z1088,Sud-Est,Rhône-Alpes,Lyon,Ain,Belleydoux,1130,1035
z1089,Sud-Est,Rhône-Alpes,Lyon,Ain,Bellignat,1810,1031
z1090,Sud-Est,Rhône-Alpes,Lyon,Ain,Bettant,1500,1041
z1091,Sud-Est,Rhône-Alpes,Lyon,Ain,Blyes,1150,1047
z1092,Sud-Est,Rhône-Alpes,Lyon,Ain,Bolozon,1450,1051
z1093,Sud-Est,Rhône-Alpes,Lyon,Ain,Bourg-Saint-Christophe,1800,1054
z1094,Sud-Est,Rhône-Alpes,Lyon,Ain,Boyeux-Saint-Jérôme,1640,1056
z1095,Sud-Est,Rhône-Alpes,Lyon,Ain,Bressolles,1360,1062
z1096,Sud-Est,Rhône-Alpes,Lyon,Ain,Brion,1460,1063
z1097,Sud-Est,Rhône-Alpes,Lyon,Ain,Ceignes,1430,1067
z1098,Sud-Est,Rhône-Alpes,Lyon,Ain,Cerdon,1450,1068
z1099,Sud-Est,Rhône-Alpes,Lyon,Ain,Challes-la-Montagne,1450,1077
z1100,Sud-Est,Rhône-Alpes,Lyon,Ain,Charix,1130,1087
z1101,Sud-Est,Rhône-Alpes,Lyon,Ain,Charnoz-sur-Ain,1800,1088
z1102,Sud-Est,Rhône-Alpes,Lyon,Ain,Château-Gaillard,1500,1089
z1103,Sud-Est,Rhône-Alpes,Lyon,Ain,Chazey-sur-Ain,1150,1099
z1104,Sud-Est,Rhône-Alpes,Lyon,Ain,Dagneux,1120,1142
z1105,Sud-Est,Rhône-Alpes,Lyon,Ain,Dortan,1590,1148
z1106,Sud-Est,Rhône-Alpes,Lyon,Ain,Douvres,1500,1149
z1107,Sud-Est,Rhône-Alpes,Lyon,Ain,Echallon,1130,1152
z1108,Sud-Est,Rhône-Alpes,Lyon,Ain,Faramans,1800,1156
z1109,Sud-Est,Rhône-Alpes,Lyon,Ain,Géovreisset,1100,1171
z1110,Sud-Est,Rhône-Alpes,Lyon,Ain,Géovreissiat,1460,1170
z1111,Sud-Est,Rhône-Alpes,Lyon,Ain,Groissiat,1810,1181
z1112,Sud-Est,Rhône-Alpes,Lyon,Ain,Izernore,1580,1192
z1113,Sud-Est,Rhône-Alpes,Lyon,Ain,Joyeux,1800,1198
z1114,Sud-Est,Rhône-Alpes,Lyon,Ain,Jujurieux,1640,1199
z1115,Sud-Est,Rhône-Alpes,Lyon,Ain,Labalme,1450,1200
z1116,Sud-Est,Rhône-Alpes,Lyon,Ain,L'Abergement-de-Varey,1640,1002
z1117,Sud-Est,Rhône-Alpes,Lyon,Ain,La Boisse,1120,1049
z1118,Sud-Est,Rhône-Alpes,Lyon,Ain,Lagnieu,1150,1202
z1119,Sud-Est,Rhône-Alpes,Lyon,Ain,Lalleyriat,1130,1204
z1120,Sud-Est,Rhône-Alpes,Lyon,Ain,Le Montellier,1800,1260
z1121,Sud-Est,Rhône-Alpes,Lyon,Ain,Le Poizat,1130,1300
z1122,Sud-Est,Rhône-Alpes,Lyon,Ain,Les Neyrolles,1130,1274
z1123,Sud-Est,Rhône-Alpes,Lyon,Ain,Leyment,1150,1213
z1124,Sud-Est,Rhône-Alpes,Lyon,Ain,Leyssard,1450,1214
z1125,Sud-Est,Rhône-Alpes,Lyon,Ain,Loyettes,1360,1224
z1126,Sud-Est,Rhône-Alpes,Lyon,Ain,Maillat,1430,1228
z1127,Sud-Est,Rhône-Alpes,Lyon,Ain,Martignat,1810,1237
z1128,Sud-Est,Rhône-Alpes,Lyon,Ain,Matafelon-Granges,1580,1240
z1129,Sud-Est,Rhône-Alpes,Lyon,Ain,Mérignat,1450,1242
z1130,Sud-Est,Rhône-Alpes,Lyon,Ain,Meximieux,1800,1244
z1131,Sud-Est,Rhône-Alpes,Lyon,Ain,Montluel,1120,1262
z1132,Sud-Est,Rhône-Alpes,Lyon,Ain,Montréal-la-Cluse,1460,1265
z1133,Sud-Est,Rhône-Alpes,Lyon,Ain,Nantua,1130,1269
z1134,Sud-Est,Rhône-Alpes,Lyon,Ain,Niévroz,1120,1276
z1135,Sud-Est,Rhône-Alpes,Lyon,Ain,Nurieux-Volognat,1460,1267
z1136,Sud-Est,Rhône-Alpes,Lyon,Ain,Oyonnax,1100,1283
z1137,Sud-Est,Rhône-Alpes,Lyon,Ain,Pérouges,1800,1290
z1138,Sud-Est,Rhône-Alpes,Lyon,Ain,Peyriat,1430,1293
z1139,Sud-Est,Rhône-Alpes,Lyon,Ain,Pizay,1120,1297
z1140,Sud-Est,Rhône-Alpes,Lyon,Ain,Poncin,1450,1303
z1141,Sud-Est,Rhône-Alpes,Lyon,Ain,Port,1460,1307
z1142,Sud-Est,Rhône-Alpes,Lyon,Ain,Rignieux-le-Franc,1800,1325
z1143,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Alban,1450,1331
z1144,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Denis-en-Bugey,1500,1345
z1145,Sud-Est,Rhône-Alpes,Lyon,Ain,Sainte-Croix,1120,1342
z1146,Sud-Est,Rhône-Alpes,Lyon,Ain,Sainte-Julie,1150,1366
z1147,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Eloi,1800,1349
z1148,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Jean-de-Niost,1800,1361
z1149,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Jean-le-Vieux,1640,1363
z1150,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Martin-du-Frêne,1430,1373
z1151,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Maurice-de-Gourdans,1800,1378
